exch,contract,area,code,indust,name,product,exchg
SSE,600002,淄博市,600002,0,齐鲁石化(退市),STK,SSE
SSE,600003,长春市,600003,0,ST东北高(退市),STK,SSE
SSE,600004,广州市,600004,交通运输,白云机场,STK,SSE
SSE,600005,武汉市,600005,0,武钢股份(退市),STK,SSE
SSE,600006,襄阳市,600006,汽车,东风汽车,STK,SSE
SSE,600007,北京市,600007,房地产,中国国贸,STK,SSE
SSE,600008,北京市,600008,公用事业,首创股份,STK,SSE
SSE,600009,上海市,600009,交通运输,上海机场,STK,SSE
SSE,600010,包头市,600010,钢铁,包钢股份,STK,SSE
SSE,600011,北京市,600011,公用事业,华能国际,STK,SSE
SSE,600012,合肥市,600012,交通运输,皖通高速,STK,SSE
SSE,600015,北京市,600015,银行,华夏银行,STK,SSE
SSE,600016,北京市,600016,银行,民生银行,STK,SSE
SSE,600017,日照市,600017,交通运输,日照港,STK,SSE
SSE,600018,上海市,600018,0,上港集箱(退市),STK,SSE
SSE,600019,上海市,600019,钢铁,宝钢股份,STK,SSE
SSE,600020,郑州市,600020,交通运输,中原高速,STK,SSE
SSE,600021,上海市,600021,公用事业,上海电力,STK,SSE
SSE,600022,济南市,600022,钢铁,山东钢铁,STK,SSE
SSE,600023,杭州市,600023,公用事业,浙能电力,STK,SSE
SSE,600025,昆明市,600025,公用事业,华能水电,STK,SSE
SSE,600026,上海市,600026,交通运输,中远海能,STK,SSE
SSE,600027,济南市,600027,公用事业,华电国际,STK,SSE
SSE,600028,北京市,600028,化工,中国石化,STK,SSE
SSE,600029,广州市,600029,交通运输,南方航空,STK,SSE
SSE,600030,深圳市,600030,非银金融,中信证券,STK,SSE
SSE,600031,北京市,600031,机械设备,三一重工,STK,SSE
SSE,600032,杭州市,600032,公用事业-电力-新能源发电,浙江新能,STK,SSE
SSE,600033,福州市,600033,交通运输,福建高速,STK,SSE
SSE,600035,武汉市,600035,交通运输,楚天高速,STK,SSE
SSE,600036,深圳市,600036,银行,招商银行,STK,SSE
SSE,600037,北京市,600037,传媒,歌华有线,STK,SSE
SSE,600038,哈尔滨市,600038,国防军工,中直股份,STK,SSE
SSE,600039,成都市,600039,建筑装饰,四川路桥,STK,SSE
SSE,600048,广州市,600048,房地产,保利地产,STK,SSE
SSE,600050,北京市,600050,通信,中国联通,STK,SSE
SSE,600051,宁波市,600051,综合,宁波联合,STK,SSE
SSE,600052,东阳市,600052,房地产,浙江广厦,STK,SSE
SSE,600053,南昌市,600053,非银金融,九鼎投资,STK,SSE
SSE,600054,黄山市,600054,休闲服务,黄山旅游,STK,SSE
SSE,600055,北京市,600055,医药生物,万东医疗,STK,SSE
SSE,600056,北京市,600056,医药生物,中国医药,STK,SSE
SSE,600057,厦门市,600057,交通运输,厦门象屿,STK,SSE
SSE,600058,北京市,600058,商业贸易,五矿发展,STK,SSE
SSE,600059,绍兴市,600059,食品饮料,古越龙山,STK,SSE
SSE,600060,青岛市,600060,家用电器,海信视像,STK,SSE
SSE,600061,上海市,600061,非银金融,国投资本,STK,SSE
SSE,600062,北京市,600062,医药生物,华润双鹤,STK,SSE
SSE,600063,巢湖市,600063,化工,皖维高新,STK,SSE
SSE,600064,南京市,600064,房地产,南京高科,STK,SSE
SSE,600065,大庆市,600065,0,*ST联谊(退市),STK,SSE
SSE,600066,郑州市,600066,汽车,宇通客车,STK,SSE
SSE,600067,福州市,600067,房地产,冠城大通,STK,SSE
SSE,600068,武汉市,600068,建筑装饰,葛洲坝,STK,SSE
SSE,600069,漯河市,600069,轻工制造,银鸽投资,STK,SSE
SSE,600070,诸暨市,600070,综合,浙江富润,STK,SSE
SSE,600071,上饶市,600071,电子,凤凰光学,STK,SSE
SSE,600072,上海市,600072,国防军工,中船科技,STK,SSE
SSE,600073,上海市,600073,食品饮料,上海梅林,STK,SSE
SSE,600074,南京市,600074,电子,退市保千,STK,SSE
SSE,600075,石河子市,600075,化工,新疆天业,STK,SSE
SSE,600076,潍坊市,600076,轻工制造,康欣新材,STK,SSE
SSE,600077,杭州市,600077,房地产,宋都股份,STK,SSE
SSE,600078,江阴市,600078,化工,澄星股份,STK,SSE
SSE,600079,武汉市,600079,医药生物,人福医药,STK,SSE
SSE,600080,西安市,600080,医药生物,金花股份,STK,SSE
SSE,600081,上海市,600081,汽车,东风科技,STK,SSE
SSE,600082,天津市,600082,房地产,海泰发展,STK,SSE
SSE,600083,苏州市,600083,综合,博信股份,STK,SSE
SSE,600084,乌鲁木齐市,600084,食品饮料,*ST中葡,STK,SSE
SSE,600085,北京市,600085,医药生物,同仁堂,STK,SSE
SSE,600086,鄂州市,600086,轻工制造,东方金钰,STK,SSE
SSE,600087,南京市,600087,0,长油(退市),STK,SSE
SSE,600088,上海市,600088,传媒,中视传媒,STK,SSE
SSE,600089,昌吉市,600089,电气设备,特变电工,STK,SSE
SSE,600090,乌鲁木齐市,600090,医药生物,同济堂,STK,SSE
SSE,600091,包头市,600091,化工,ST明科,STK,SSE
SSE,600092,西安市,600092,0,S*ST精密(退市),STK,SSE
SSE,600093,成都市,600093,非银金融,易见股份,STK,SSE
SSE,600094,上海市,600094,房地产,大名城,STK,SSE
SSE,600095,哈尔滨市,600095,房地产,哈高科,STK,SSE
SSE,600096,昆明市,600096,化工,云天化,STK,SSE
SSE,600097,上海市,600097,农林牧渔,开创国际,STK,SSE
SSE,600098,广州市,600098,公用事业,广州发展,STK,SSE
SSE,600099,泰州市,600099,汽车,林海股份,STK,SSE
SSE,600100,北京市,600100,计算机,同方股份,STK,SSE
SSE,600101,遂宁市,600101,公用事业,明星电力,STK,SSE
SSE,600102,济南市,600102,0,莱钢股份(退市),STK,SSE
SSE,600103,福州市,600103,轻工制造,青山纸业,STK,SSE
SSE,600104,上海市,600104,汽车,上汽集团,STK,SSE
SSE,600105,苏州市,600105,通信,永鼎股份,STK,SSE
SSE,600106,重庆市,600106,交通运输,重庆路桥,STK,SSE
SSE,600107,黄石市,600107,纺织服装,美尔雅,STK,SSE
SSE,600108,兰州市,600108,农林牧渔,亚盛集团,STK,SSE
SSE,600109,成都市,600109,非银金融,国金证券,STK,SSE
